iter	Passed	Remaining
580	4242	3059
581	4249	3052
582	4257	3045
583	4265	3038
584	4273	3031
585	4280	3023
586	4288	3017
587	4295	3009
588	4303	3002
589	4310	2995
590	4317	2987
591	4324	2980
592	4331	2972
593	4338	2965
594	4345	2957
595	4352	2950
596	4359	2942
597	4366	2935
598	4372	2927
599	4379	2919
600	4386	2912
601	4392	2904
602	4399	2896
603	4406	2889
604	4412	2881
605	4419	2873
606	4426	2865
607	4433	2858
608	4440	2850
609	4448	2843
610	4455	2836
611	4461	2828
612	4469	2821
613	4476	2813
614	4483	2806
615	4489	2798
616	4496	2791
617	4503	2783
618	4510	2776
619	4518	2769
620	4525	2761
621	4533	2754
622	4540	2747
623	4548	2740
624	4556	2733
625	4563	2726
626	4571	2719
627	4578	2712
628	4585	2704
629	4592	2696
630	4599	2689
631	4606	2681
632	4613	2674
633	4619	2666
634	4627	2659
635	4634	2652
636	4641	2644
637	4649	2638
638	4656	2630
639	4664	2623
640	4671	2616
641	4678	2608
642	4685	2601
643	4691	2593
644	4698	2586
645	4705	2578
646	4713	2571
647	4720	2563
648	4727	2556
649	4734	2549
650	4741	2542
651	4748	2534
652	4755	2527
653	4763	2520
654	4770	2512
655	4778	2505
656	4785	2498
657	4792	2490
658	4799	2483
659	4805	2475
660	4812	2467
661	4818	2460
662	4825	2452
663	4832	2445
664	4839	2437
665	4847	2430
666	4854	2423
667	4861	2416
668	4868	2408
669	4876	2401
670	4883	2394
671	4889	2386
672	4896	2379
673	4903	2371
674	4910	2364
675	4917	2356
676	4923	2349
677	4930	2341
678	4937	2334
679	4945	2327
680	4952	2319
681	4959	2312
682	4966	2304
683	4973	2297
684	4980	2290
685	4987	2283
686	4994	2275
687	5001	2268
688	5008	2260
689	5016	2253
690	5024	2246
691	5031	2239
692	5039	2232
693	5046	2224
694	5053	2217
695	5060	2210
696	5067	2202
697	5074	2195
698	5081	2188
699	5089	2181
700	5096	2173
701	5103	2166
702	5109	2158
703	5116	2151
704	5123	2143
705	5130	2136
706	5137	2128
707	5144	2121
708	5152	2114
709	5159	2107
710	5166	2099
711	5172	2092
712	5180	2085
713	5187	2078
714	5194	2070
715	5202	2063
716	5209	2056
717	5216	2048
718	5223	2041
719	5230	2033
720	5237	2026
721	5244	2019
722	5254	2013
723	5262	2006
724	5270	1998
725	5277	1991
726	5285	1984
727	5292	1977
728	5299	1969
729	5305	1962
730	5311	1954
731	5318	1947
732	5324	1939
733	5331	1931
734	5336	1924
735	5343	1916
736	5350	1909
737	5356	1901
738	5363	1894
739	5369	1886
740	5375	1878
741	5382	1871
742	5388	1863
743	5395	1856
744	5401	1848
745	5407	1841
746	5413	1833
747	5419	1825
748	5426	1818
749	5431	1810
750	5437	1802
751	5444	1795
752	5450	1787
753	5457	1780
754	5463	1772
755	5469	1765
756	5475	1757
757	5482	1750
758	5489	1742
759	5495	1735
760	5502	1727
761	5508	1720
762	5515	1713
763	5522	1706
764	5529	1698
765	5535	1691
766	5541	1683
767	5547	1675
768	5553	1668
769	5560	1660
770	5566	1653
771	5572	1645
772	5579	1638
773	5585	1630
774	5591	1623
775	5597	1615
776	5603	1608
777	5609	1600
778	5615	1593
779	5621	1585
780	5627	1578
781	5633	1570
782	5640	1563
783	5646	1555
784	5652	1548
785	5658	1540
786	5665	1533
787	5671	1525
788	5678	1518
789	5685	1511
790	5692	1504
791	5699	1496
792	5705	1489
793	5711	1481
794	5717	1474
795	5724	1466
796	5730	1459
797	5736	1452
798	5743	1444
799	5750	1437
800	5758	1430
801	5764	1423
802	5770	1415
803	5776	1408
804	5783	1400
805	5790	1393
806	5796	1386
807	5802	1378
